"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SOCEXP","PUB","PC_GDP","A","2011",17.015,
"AUS","SOCEXP","PUB","PC_GDP","A","2012",17.302,
"AUS","SOCEXP","PUB","PC_GDP","A","2013",17.247,
"AUS","SOCEXP","PUB","PC_GDP","A","2014",17.78,
"AUS","SOCEXP","PUB","PC_GDP","A","2015",18.148,
"AUS","SOCEXP","PUB","PC_GDP","A","2016",17.408,
"AUS","SOCEXP","PUB","PC_GDP","A","2017",16.71,
"AUT","SOCEXP","PUB","PC_GDP","A","2011",26.744,
"AUT","SOCEXP","PUB","PC_GDP","A","2012",27.11,
"AUT","SOCEXP","PUB","PC_GDP","A","2013",27.517,
"AUT","SOCEXP","PUB","PC_GDP","A","2014",27.731,
"AUT","SOCEXP","PUB","PC_GDP","A","2015",27.735,
"AUT","SOCEXP","PUB","PC_GDP","A","2016",27.718,
"AUT","SOCEXP","PUB","PC_GDP","A","2017",27.263,
"AUT","SOCEXP","PUB","PC_GDP","A","2018",26.914,
"AUT","SOCEXP","PUB","PC_GDP","A","2019",26.945,
"BEL","SOCEXP","PUB","PC_GDP","A","2011",28.893,
"BEL","SOCEXP","PUB","PC_GDP","A","2012",28.804,
"BEL","SOCEXP","PUB","PC_GDP","A","2013",29.198,
"BEL","SOCEXP","PUB","PC_GDP","A","2014",29.105,
"BEL","SOCEXP","PUB","PC_GDP","A","2015",29.517,
"BEL","SOCEXP","PUB","PC_GDP","A","2016",28.845,
"BEL","SOCEXP","PUB","PC_GDP","A","2017",28.718,
"BEL","SOCEXP","PUB","PC_GDP","A","2018",28.77,
"BEL","SOCEXP","PUB","PC_GDP","A","2019",28.902,
"CAN","SOCEXP","PUB","PC_GDP","A","2011",17.078,
"CAN","SOCEXP","PUB","PC_GDP","A","2012",17.219,
"CAN","SOCEXP","PUB","PC_GDP","A","2013",16.978,
"CAN","SOCEXP","PUB","PC_GDP","A","2014",16.903,
"CAN","SOCEXP","PUB","PC_GDP","A","2015",17.931,
"CAN","SOCEXP","PUB","PC_GDP","A","2016",18.279,
