"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHDI","GROSS","PC_CHGPPCAP","A","2011",3.49,
"AUS","HHDI","GROSS","PC_CHGPPCAP","A","2012",-0.98,
"AUS","HHDI","GROSS","PC_CHGPPCAP","A","2013",0.54,
"AUS","HHDI","GROSS","PC_CHGPPCAP","A","2014",1.83,
"AUS","HHDI","GROSS","PC_CHGPPCAP","A","2015",0.37,
"AUS","HHDI","GROSS","PC_CHGPPCAP","A","2016",-0.1,
"AUS","HHDI","GROSS","PC_CHGPPCAP","A","2017",0.25,
"AUS","HHDI","GROSS","PC_CHGPPCAP","A","2018",0.89,
"AUS","HHDI","GROSS","PC_CHGPPCAP","A","2019",0.74,
"AUT","HHDI","GROSS","PC_CHGPPCAP","A","2011",-0.82,
"AUT","HHDI","GROSS","PC_CHGPPCAP","A","2012",1.08,
"AUT","HHDI","GROSS","PC_CHGPPCAP","A","2013",-2.39,
"AUT","HHDI","GROSS","PC_CHGPPCAP","A","2014",-0.07,
"AUT","HHDI","GROSS","PC_CHGPPCAP","A","2015",-1.14,
"AUT","HHDI","GROSS","PC_CHGPPCAP","A","2016",1.29,
"AUT","HHDI","GROSS","PC_CHGPPCAP","A","2017",1,
"AUT","HHDI","GROSS","PC_CHGPPCAP","A","2018",0.73,
"AUT","HHDI","GROSS","PC_CHGPPCAP","A","2019",1.18,
"BEL","HHDI","GROSS","PC_CHGPPCAP","A","2011",-1.13,
"BEL","HHDI","GROSS","PC_CHGPPCAP","A","2012",0.23,
"BEL","HHDI","GROSS","PC_CHGPPCAP","A","2013",-0.18,
"BEL","HHDI","GROSS","PC_CHGPPCAP","A","2014",0,
"BEL","HHDI","GROSS","PC_CHGPPCAP","A","2015",0.08,
"BEL","HHDI","GROSS","PC_CHGPPCAP","A","2016",0.85,
"BEL","HHDI","GROSS","PC_CHGPPCAP","A","2017",1.56,
"BEL","HHDI","GROSS","PC_CHGPPCAP","A","2018",0.67,
"BEL","HHDI","GROSS","PC_CHGPPCAP","A","2019",2.13,
"CAN","HHDI","GROSS","PC_CHGPPCAP","A","2011",0.38,
"CAN","HHDI","GROSS","PC_CHGPPCAP","A","2012",1.52,
"CAN","HHDI","GROSS","PC_CHGPPCAP","A","2013",2.05,
"CAN","HHDI","GROSS","PC_CHGPPCAP","A","2014",0.27,
"CAN","HHDI","GROSS","PC_CHGPPCAP","A","2015",2.5,
"CAN","HHDI","GROSS","PC_CHGPPCAP","A","2016",-1.19,
"CAN","HHDI","GROSS","PC_CHGPPCAP","A","2017",2.65,
"CAN","HHDI","GROSS","PC_CHGPPCAP","A","2018",0.27,
"CAN","HHDI","GROSS","PC_CHGPPCAP","A","2019",1.43,
"CZE","HHDI","GROSS","PC_CHGPPCAP","A","2011",-0.75,
"CZE","HHDI","GROSS","PC_CHGPPCAP","A","2012",-0.84,
"CZE","HHDI","GROSS","PC_CHGPPCAP","A","2013",-0.48,
"CZE","HHDI","GROSS","PC_CHGPPCAP","A","2014",2.46,
"CZE","HHDI","GROSS","PC_CHGPPCAP","A","2015",3.47,
"CZE","HHDI","GROSS","PC_CHGPPCAP","A","2016",2.84,
"CZE","HHDI","GROSS","PC_CHGPPCAP","A","2017",4.38,
"CZE","HHDI","GROSS","PC_CHGPPCAP","A","2018",3.68,
"CZE","HHDI","GROSS","PC_CHGPPCAP","A","2019",3.27,
"DNK","HHDI","GROSS","PC_CHGPPCAP","A","2011",0.65,
"DNK","HHDI","GROSS","PC_CHGPPCAP","A","2012",-0.6,
"DNK","HHDI","GROSS","PC_CHGPPCAP","A","2013",0.71,
"DNK","HHDI","GROSS","PC_CHGPPCAP","A","2014",0.16,
"DNK","HHDI","GROSS","PC_CHGPPCAP","A","2015",3.15,
"DNK","HHDI","GROSS","PC_CHGPPCAP","A","2016",3.52,
"DNK","HHDI","GROSS","PC_CHGPPCAP","A","2017",1.54,
"DNK","HHDI","GROSS","PC_CHGPPCAP","A","2018",1.85,
"DNK","HHDI","GROSS","PC_CHGPPCAP","A","2019",2.05,
"FIN","HHDI","GROSS","PC_CHGPPCAP","A","2011",0.2,
"FIN","HHDI","GROSS","PC_CHGPPCAP","A","2012",-0.39,
"FIN","HHDI","GROSS","PC_CHGPPCAP","A","2013",-0.28,
"FIN","HHDI","GROSS","PC_CHGPPCAP","A","2014",-0.63,
"FIN","HHDI","GROSS","PC_CHGPPCAP","A","2015",0.84,
"FIN","HHDI","GROSS","PC_CHGPPCAP","A","2016",1.43,
"FIN","HHDI","GROSS","PC_CHGPPCAP","A","2017",1.14,
"FIN","HHDI","GROSS","PC_CHGPPCAP","A","2018",1.87,
"FIN","HHDI","GROSS","PC_CHGPPCAP","A","2019",2.04,
"FRA","HHDI","GROSS","PC_CHGPPCAP","A","2011",-0.36,
"FRA","HHDI","GROSS","PC_CHGPPCAP","A","2012",-0.83,
"FRA","HHDI","GROSS","PC_CHGPPCAP","A","2013",-1.6,
"FRA","HHDI","GROSS","PC_CHGPPCAP","A","2014",0.75,
"FRA","HHDI","GROSS","PC_CHGPPCAP","A","2015",0.46,
"FRA","HHDI","GROSS","PC_CHGPPCAP","A","2016",1.17,
"FRA","HHDI","GROSS","PC_CHGPPCAP","A","2017",1.36,
"FRA","HHDI","GROSS","PC_CHGPPCAP","A","2018",0.91,
"FRA","HHDI","GROSS","PC_CHGPPCAP","A","2019",2.15,
"DEU","HHDI","GROSS","PC_CHGPPCAP","A","2011",1.7,
"DEU","HHDI","GROSS","PC_CHGPPCAP","A","2012",0.89,
"DEU","HHDI","GROSS","PC_CHGPPCAP","A","2013",-0.02,
"DEU","HHDI","GROSS","PC_CHGPPCAP","A","2014",1.27,
"DEU","HHDI","GROSS","PC_CHGPPCAP","A","2015",1.32,
"DEU","HHDI","GROSS","PC_CHGPPCAP","A","2016",1.86,
"DEU","HHDI","GROSS","PC_CHGPPCAP","A","2017",1.46,
"DEU","HHDI","GROSS","PC_CHGPPCAP","A","2018",2.3,
"DEU","HHDI","GROSS","PC_CHGPPCAP","A","2019",0.83,
"GRC","HHDI","GROSS","PC_CHGPPCAP","A","2011",-12.34,
"GRC","HHDI","GROSS","PC_CHGPPCAP","A","2012",-11.2,
"GRC","HHDI","GROSS","PC_CHGPPCAP","A","2013",-4.19,
"GRC","HHDI","GROSS","PC_CHGPPCAP","A","2014",3.1,
"GRC","HHDI","GROSS","PC_CHGPPCAP","A","2015",1.66,
"GRC","HHDI","GROSS","PC_CHGPPCAP","A","2016",-0.01,
"GRC","HHDI","GROSS","PC_CHGPPCAP","A","2017",-0.37,
"GRC","HHDI","GROSS","PC_CHGPPCAP","A","2018",1.09,
"GRC","HHDI","GROSS","PC_CHGPPCAP","A","2019",4.04,
"HUN","HHDI","GROSS","PC_CHGPPCAP","A","2011",3.87,
"HUN","HHDI","GROSS","PC_CHGPPCAP","A","2012",-3.13,
"HUN","HHDI","GROSS","PC_CHGPPCAP","A","2013",2.25,
"HUN","HHDI","GROSS","PC_CHGPPCAP","A","2014",3.24,
"HUN","HHDI","GROSS","PC_CHGPPCAP","A","2015",3.81,
"HUN","HHDI","GROSS","PC_CHGPPCAP","A","2016",4.43,
"HUN","HHDI","GROSS","PC_CHGPPCAP","A","2017",6.33,
"HUN","HHDI","GROSS","PC_CHGPPCAP","A","2018",8.4,
"HUN","HHDI","GROSS","PC_CHGPPCAP","A","2019",4.91,
"IRL","HHDI","GROSS","PC_CHGPPCAP","A","2011",-6.4,
"IRL","HHDI","GROSS","PC_CHGPPCAP","A","2012",1.51,
"IRL","HHDI","GROSS","PC_CHGPPCAP","A","2013",-2.69,
"IRL","HHDI","GROSS","PC_CHGPPCAP","A","2014",0.05,
"IRL","HHDI","GROSS","PC_CHGPPCAP","A","2015",2.94,
"IRL","HHDI","GROSS","PC_CHGPPCAP","A","2016",3.28,
"IRL","HHDI","GROSS","PC_CHGPPCAP","A","2017",4.64,
"IRL","HHDI","GROSS","PC_CHGPPCAP","A","2018",1.03,
"IRL","HHDI","GROSS","PC_CHGPPCAP","A","2019",2.2,
"ITA","HHDI","GROSS","PC_CHGPPCAP","A","2011",-0.65,
"ITA","HHDI","GROSS","PC_CHGPPCAP","A","2012",-5.49,
"ITA","HHDI","GROSS","PC_CHGPPCAP","A","2013",-0.83,
"ITA","HHDI","GROSS","PC_CHGPPCAP","A","2014",0.37,
"ITA","HHDI","GROSS","PC_CHGPPCAP","A","2015",1.21,
"ITA","HHDI","GROSS","PC_CHGPPCAP","A","2016",1.37,
"ITA","HHDI","GROSS","PC_CHGPPCAP","A","2017",1.16,
"ITA","HHDI","GROSS","PC_CHGPPCAP","A","2018",1.05,
"ITA","HHDI","GROSS","PC_CHGPPCAP","A","2019",0.35,
"JPN","HHDI","GROSS","PC_CHGPPCAP","A","2011",-0.12,
"JPN","HHDI","GROSS","PC_CHGPPCAP","A","2012",0.58,
"JPN","HHDI","GROSS","PC_CHGPPCAP","A","2013",0.41,
"JPN","HHDI","GROSS","PC_CHGPPCAP","A","2014",-1.72,
"JPN","HHDI","GROSS","PC_CHGPPCAP","A","2015",0.52,
"JPN","HHDI","GROSS","PC_CHGPPCAP","A","2016",1.19,
"JPN","HHDI","GROSS","PC_CHGPPCAP","A","2017",0.69,
"JPN","HHDI","GROSS","PC_CHGPPCAP","A","2018",0.66,
"JPN","HHDI","GROSS","PC_CHGPPCAP","A","2019",1.35,
"MEX","HHDI","GROSS","PC_CHGPPCAP","A","2011",4.36,
"MEX","HHDI","GROSS","PC_CHGPPCAP","A","2012",-1.41,
